Bar Name,Address,Lat / Long,Place ID,Price,Pay by method,Table Type,Tables
Macdougal St,"122 MacDougal St, New York, NY 10012","40.73002937620787, -74.00027688795778",ChIJjbSuh5FZwokRBr-0uqQ4RLE,$1.00,Per game,,1
Barrow's Pub,"463 Hudson St, New York, NY 10014","40.731781222122514, -74.00686681679367",ChIJMQim1uxZwokRIyU5nBAMHuU,$1.00,Per game,,1
Rays,"177 Chrystie St, New York, NY 10002","40.72124420370724, -73.99258244748135",ChIJKavF4jxZwokRph6HhofCKJY,$2.00,Per game,,1
Cellar Dog,"75 Christopher St, New York, NY 10014","40.733753928771726, -74.00319688980898",ChIJhWENSQ1ZwokRuuh2eZNUUSc,$8.00,Per hour/Per Person,,15
Trionas on Sullivan,"237 Sullivan St, New York, NY 10012","40.73004968792067, -73.99939166097316",ChIJOa01mZFZwokRWGEE-s5NAFk,$1.00,Per game,,1
Bleeker Street Bar,"648 Broadway, New York, NY 10012","40.726723753631674, -73.99533630330154",ChIJs_vt9I9ZwokRxV5EBoQcB5E,$1.00,Per game,,2
Lucy's,"135 Avenue A, New York, NY 10009","40.72720264430989, -73.98311471864517",ChIJ3WRZYp1ZwokRI0GzAf4kCIQ,$1.00,Per game,,2
Jac's on Bond,"26 Bond St, New York, NY 10012","40.72666630646773, -73.99315644656365",ChIJRVNhqddZwokRtdYJh-uBlCY,Free,Per game,,1
Amsterdam Billards,"110 E 11th St, New York, NY 10003","40.73183888028423, -73.98947033121998",ChIJ7de9UJlZwokR8QKhYlcrLMA,,,,27
The One Trick Pony,"234 W 14th St, New York, NY 10011","40.73934607828604, -74.0013003",ChIJVdQpe65ZwokRGj7Wq8u55eY,,,,1
Westside Tavern,"360 W 23rd St, New York, NY 10011","40.74624478701053, -74.000686482805",ChIJz0ZiiblZwokR0N8DMCLuor0,$2.00,Per Game,,1
Hudson Yards Tavern,"360 9th Ave, New York, NY 10001","40.751191500000004, -73.99677372805003",ChIJxSrafptZwokR5xeQJ3Y5MtA,,,,1
Anytime Bar & Billiards,"112 W 30th St, New York, NY 10001","40.74758563055799, -73.9904221",ChIJ2YSC9nBZwokRfgwN11zc7ww,$12.50,Per Hour,,
Pioneers Bar,"138 W 29th St, New York, NY 10001","40.74745420917696, -73.99172059999998",ChIJkTptdq9ZwokR9CCc1A4ZcNw,$2.00,Per game,,1
Space Billiard Pool Hall & Sports Bar,"34 W 32nd St Floor 12, New York, NY 10001","40.74770018266814, -73.98657712751728",ChIJz_3Q3qhZwokRAX09MCwhWTc,,,,
Mr B Bar,"231 E 33rd St, New York, NY 10016","40.74471145430815, -73.97705752143045",ChIJp14YXQBZwokR_IDE0EC5Dww,Free,,,
Fáilte,"531 2nd Ave, New York, NY 10016","40.74219044770217, -73.97803925952319",ChIJJ_mEJwlZwokRqKtNhhxuh1Y,,,,
Paddy Reilly's Music Bar,"519 2nd Ave, New York, NY 10016","40.74178436428174, -73.97772645820454",ChIJfThpJAlZwokRiJwnvCW94SM,,,,
The Clocktower,"5 Madison Ave, New York, NY 10010","40.741421013487795, -73.98658231217365",ChIJe_H4tKZZwokRIKL-M0_luB0,Free,,,
Clara’s Gramercy,"393 2nd Ave, New York, NY 10010","40.73788211998775, -73.98106424232817",ChIJE6d1GjVZwokRq1uOw3mybkU,,,,1
Barfly,"244 3rd Ave, New York, NY 10010","40.73728445140547, -73.98424882328182",ChIJLVH0QaBZwokRGivIPQcDKU4,$2.00,Per game,,1
Paddy Maguire's Ale House,"237 3rd Ave Apt 4, New York, NY 10003","40.736787035273295, -73.98432259074319",ChIJS-udFaBZwokRQ8Bg5mBTGpY,,,,2
Josie Woods Pub,"11 Waverly Pl, New York, NY 10003","40.73033895736642, -73.99373963122",ChIJmbJve5pZwokRsEYWvzyfA4Q,,,,2
Kingston Hall,"149 2nd Ave, New York, NY 10003","40.72963838758148, -73.98697161164093",ChIJN1zwQJxZwokRNFh2jY9GrVM,Free,Per game,,1
Bull McCabes,"29 St Marks Pl, New York, NY 10003","40.72916834089681, -73.98781868518908",ChIJpVqBe5xZwokRMIOr6FtZg9Y,$2.00,Per game,,1
Ace Bar,"531 E 5th St, New York, NY 10009","40.724496727652905, -73.98240560053274",ChIJuddLo4JZwokRdm_oW8FoWN4,,,,2
Josie's,"520 E 6th St, New York, NY 10009","40.7249816, -73.98291274603089",ChIJG2-7B3hZwokRqdktPZZZbFw,,,,1
Sophie's,"507 E 5th St, New York, NY 10009","40.724927887842654, -73.98364302143045",ChIJZ1obu4JZwokRIif6X60iJXM,,,,1
Double Down Saloon,"14 Avenue A, New York, NY 10009","40.72265866425756, -73.98542604471227",ChIJRZhgTIJZwokR5ZRVoHE3tlw,,,,1
Kelly's Sports Bar,"12 Avenue A, New York, NY 10009","40.72264058024281, -73.98558147354818",ChIJMbCzTIJZwokREbymvR7Ex8g,,,,1
The Hairy Lemon,"28 Avenue B, New York, NY 10009","40.722587447648785, -73.98286306375864",ChIJz-geeoJZwokR7IawjoknIfs,,,,1
Parkside Lounge,"317 E Houston St, New York, NY 10002","40.72120962224614, -73.98275691485733",ChIJv2vIB4JZwokRQbbrk0W6I88,,,,1
Sadie's Ward,"121 Essex St, New York, NY 10002","40.71979375035963, -73.98750040979054",ChIJkYrFXQBZwokRZDqR-gXdgSg,,,,1
The Ripple Room,"183 Bowery, New York, NY 10002","40.72052184222046, -73.99326610608861",ChIJqz6xTwBZwokRNvAKvJE8RV4,,,,2
one4one Sports Club & Lounge,"141 Chrystie St, New York, NY 10002","40.71988669810999, -73.99289702328296",ChIJHRb02qhZwokRo93vok4Bx5I,,,,1
The Flower Shop,"107 Eldridge St, New York, NY 10002","40.71829585529994, -73.99189658280562",ChIJxQsOoodZwokRKDADB6KPBaU,,,,1
169 Bar,"169 E Broadway, New York, NY 10002","40.71400276685373, -73.98940037084475",ChIJVeXRdylawokRJYXkLU8yMpE,,,,1
Old Mates Pub,"170 John St, New York, NY 10038","40.7061862972628, -74.00402323492446",ChIJ18arQwBbwokRzYO8n-65f_s,,,,1
Toad Hall,"57 Grand St, New York, NY 10013","40.722346442925186, -74.00298444471498",ChIJKUZYdYtZwokRUFeMJp0FKsM,,,,1
Barrow Street Ale house,"15 Barrow St, New York, NY 10014","40.732798894575055, -74.00221847301503",ChIJuSb7kZNZwokRyFL7gpKQbfA,,,,1
McAnn's,"625 8th Ave, New York, NY 10018","40.75703788089849, -73.99152462384292",ChIJJ34aKFNYwokRmFSEkY6j1hA,,,,1
Blue Ruin Bar,"538 9th Ave, New York, NY 10018","40.75707662317531, -73.99309075635648",ChIJJ1ZxtlJYwokRU2Ysk8JPqgM,,,,1
Cassidys Pub,"65 W 55th St, New York, NY 10019","40.76290859179314, -73.97677034656596",ChIJuQeWi_lYwokRB0tWx-ZYzHI,,,,1
Ryan's Daughter,"350 E 85th St, New York, NY 10028","40.77639022631311, -73.94978578519235",ChIJszD3NLpYwokRctlOODWpBu8,,,,1
Carlow East,"1254 Lexington Ave, New York, NY 10028","40.778715437190364, -73.95608780979053",ChIJeen__rxYwokRsvHolLTy530,,,,1
Phil Hughes Bar,"1682 1st Ave, New York, NY 10128","40.778137270475206, -73.94807767540182",ChIJtUc2m7pYwokRiPjOs_nhKWw,,,,1
Meller's Sports Hub and Grill,"1702 2nd Ave, New York, NY 10128","40.779366175800675, -73.95019566005841",ChIJdYXJnUVZwokRoryREm-iZZ0,,,,1
Reif's Bar,"302 E 92nd St, New York, NY 10128","40.78154704361641, -73.94851651534341",ChIJAW4Ub6VYwokRsUbtg17_8P8,,,,1
Merrion Square Pub,"1840 2nd Ave, New York, NY 10128","40.78378750765164, -73.94705443122255",ChIJjVdbXK9YwokRtaK2GfOV0wg,,,,1
Mcswiggins,"110 1st St, Hoboken, NJ 07030","40.73786888634154, -74.03144563213694",ChIJS57TN19XwokRe3wjTAno6_k,$1.00,Per Game,,1
Mulligans Pub,"159 1st St, Hoboken, NJ 07030","40.73769824021836, -74.03229058795738",ChIJ5cXiLV9XwokRsUQzKahdOiM,$1.00,Per Game,,1
The Shannon,"106 1st St, Hoboken, NJ 07030","40.737833669247244, -74.03134743213695",ChIJ__tZSF9XwokRokG3kTH9l-s,$1.00,Per Game,,2
Louise & Jerrys,"329 Washington St, Hoboken, NJ 07030","40.74103140479875, -74.02957573213676",ChIJETYPGeBZwokRiZCiyj0VukI,$2.00,Per Game,,1
The Ale House,"1034 Willow Ave, Hoboken, NJ 07030","40.75044018183256, -74.03109941864408",ChIJEeoVkmJXwokRYHmY5QWIfQ8,$1.00,Per Game,,1
Madd Hatter,"221 Washington St, Hoboken, NJ 07030","40.739568898330965, -74.0298995321369",ChIJq6o1fl9XwokRcJ2k4m-_g5k,$1.00,Per Game,,1
The Ferryman,"94-98 Bloomfield St, Hoboken, NJ 07030","40.73747328182543, -74.03183852660177",ChIJG-ptuIdXwokRHXqzh_RRcP8,,,,1
South House,"149 Newark Ave, Jersey City, NJ 07302","40.72068999320897, -74.04414805912242",ChIJcXdpNrJQwokRWyvhGU7S9c0,$0.00,Per Game,,1
Rays Hometown Bar,"905 Lorimer St, Brooklyn, NY 11222","40.72363090566614, -73.95194480330173",ChIJY5xKpl1ZwokR-CYLp7KTZOg,,,,