Bar Name,Place ID,Price,Pay by method,Table Type,Tables
Brooklyn Safehouse,ChIJcTP9sUFZwokRDMgFnqWAqgI,Free,Per Game,,1
The Mallard Drake,ChIJGZlZJGFZwokRdRSS4bR9eCk,Free,Per Game,,1
Twins Lounge,ChIJofE6JSBZwokRkOG-yB0pXns,$1.50,Per Game,,2
Connie O's,ChIJ14HCHkZZwokRkPIGjV78aIE,,,,1
The Palace,ChIJjbkLpBhZwokRBROS15xVRlM,,,,1
The Gutter,ChIJhZwYPkNZwokR5br0SgJqx2o,,,,1
Brooklyn Billiards,ChIJD2mVAONZwokRfKs3qmPzKcM,,,,10
Turkey's Nest,ChIJC4LOuFxZwokR0aI7tb5Jyw8,,,,1
George & Jack's Tap Room,ChIJEWnOm11ZwokR8kapptzopz8,$2.00,Per Game,,1
Gran Torino,ChIJkXRIF7xZwokRWHXyMhvSNO8,,,,1
The Levee,ChIJN-vEwmBZwokR571lPuCCpC8,,,,1
Horse's and Divorces,ChIJ__8DRGBZwokR6dfUGzBAfAc,$2.00,Per Game,,1
Midway,ChIJdZDC6l9ZwokRz2s94zcMlUw,$2.00,Per Game,,1
Maracuja,ChIJibBvvl9ZwokRDDmhWjCVuS0,$1.00,Per Game,,1
Caribbean Social Club,ChIJf1mV3V9ZwokRmvDtUmyIMGk,$0.50,Per Game,,1
Propaganda,ChIJXbm2Bg1bwokR2H1am3e1E5M,Free,Per Game,,1
East River Bar,ChIJTyNDL99bwokR6dFejXiNnsA,,,,1
OTB,ChIJ51pNHN9bwokROF0EWcMTsoU,$2.00,Per Game,,1
LORA SPORTS BAR,ChIJ675IlbVbwokRf1-w0eWkCw8,,,,1
Redd's Tavern,ChIJ1WbVf1hZwokRv7FQ6t4Tl_0,$1.00,Per Game,,1
Alligator Lounge,ChIJi72NxllZwokROkAxMMbU_nw,$2.00,Per Game,,1
The Whiskey on Grand,ChIJ9Xd4geJbwokR6VPdAKJXzyE,,,,1
Ontario Bar,ChIJkxkuDVhZwokRJcoxmoEmy_w,,,,1
Haven,ChIJ555lhNNZwokRNrVt_YsFDl0,,,,2
The Less Dead,ChIJl0GTBwBZwokRYfGeyEN4Vm8,Free,Per Game,,1
The Anchored Inn,ChIJp5C1XlVZwokR-4vkeemYjXI,$2.00,Per Game,,2
Bushwick Ice House,ChIJg-Ps6xtdwokR1rw0-i3lRcc,$1.00,Per Game,,1
The Cobra Club,ChIJb38eWh1cwokRS2OX0SzcFrU,$2.00,Per Game,,1
The Johnson's,ChIJqwhqNh1cwokRcUqJU2zS5M8,$2.00,Per Game,,1
Carousel,ChIJS3GApRNdwokRQ5wdnB5qpDA,$2.00,Per Game,,2
Heavy Woods,ChIJpwu_dB1cwokRB_7Vq9WZDh0,$1.00,Per Game,,1
Starr Bar,ChIJKx5RIh1cwokRi2jyqtjqG68,,,,1
Abe's Pagoda Bar,ChIJiQHGLBxcwokRSGPEB7RkbLA,$2.00,Per Game,,2
Carmelo’s,ChIJfb2NaBxcwokRPwioF7FI_ds,,,,2
Lou’s Athletic Club,ChIJY1jYosFdwokR4l7zAYIp-LY,$2.00,Per Game,,1
Talon Bar,ChIJofiaMx9cwokRj1ATioLrre0,$1.50,Per Game,,1
Merv’s Bar,ChIJ561dGRlcwokRtRw8jZpJh5M,$2.00,Per Game,,1
Bootleg Bar,ChIJ2YXonRlcwokR_z5cvjB7JMI,,,,1
Lone Wolf,ChIJA6n6NQlcwokRVhzgWu1ycCI,,,,1
Fulton Hall,ChIJhfCnIC9bwokRHWScDWwdeCQ,,,,1
Brooklyn Inn,ChIJ7-cwHFJawokRYc2hTrsF-gs,$2.00,Per Game,,1
Alibi,ChIJ92wJjLlbwokR_fBkYGaPfcA,,,,1
Brooklyn Social,ChIJPe-pfldawokRZnO3SMACHYk,,,,1
Montero Bar & Grill,ChIJe6d6TERawokRw5jEzIqswwg,$1.00,Per Game,,1